"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-VR-A8ER-01A-11R-A36D-31","TCGA-VR-A8ER-01A-11R-A36D-31",36.2961719298246,"TCGA-ESCA"
"TCGA-JY-A93C-01A-11R-A38D-31","TCGA-JY-A93C-01A-11R-A38D-31",19.0319035087719,"TCGA-ESCA"
"TCGA-IG-A7DP-01A-31R-A336-31","TCGA-IG-A7DP-01A-31R-A336-31",42.4948859649123,"TCGA-ESCA"
"TCGA-IG-A4QS-01A-11R-A260-31","TCGA-IG-A4QS-01A-11R-A260-31",9.86283684210526,"TCGA-ESCA"
"TCGA-VR-AA7D-01A-11R-A406-31","TCGA-VR-AA7D-01A-11R-A406-31",20.1469350877193,"TCGA-ESCA"
"TCGA-LN-A4A2-01A-31R-A260-31","TCGA-LN-A4A2-01A-31R-A260-31",38.7938877192982,"TCGA-ESCA"
"TCGA-2H-A9GF-01A-11R-A37I-31","TCGA-2H-A9GF-01A-11R-A37I-31",19.8149543859649,"TCGA-ESCA"
"TCGA-VR-AA4D-01A-11R-A37I-31","TCGA-VR-AA4D-01A-11R-A37I-31",5.65970175438597,"TCGA-ESCA"
"TCGA-L5-A8NM-01A-11R-A37I-31","TCGA-L5-A8NM-01A-11R-A37I-31",14.2233456140351,"TCGA-ESCA"
"TCGA-V5-A7RE-01A-11R-A354-31","TCGA-V5-A7RE-01A-11R-A354-31",7.56362280701754,"TCGA-ESCA"
"TCGA-LN-A49W-01A-11R-A260-31","TCGA-LN-A49W-01A-11R-A260-31",58.809698245614,"TCGA-ESCA"
"TCGA-LN-A7HZ-01A-31R-A354-31","TCGA-LN-A7HZ-01A-31R-A354-31",25.8146649122807,"TCGA-ESCA"
"TCGA-LN-A5U5-01A-21R-A28J-31","TCGA-LN-A5U5-01A-21R-A28J-31",7.67821929824561,"TCGA-ESCA"
"TCGA-LN-A49Y-01A-11R-A260-31","TCGA-LN-A49Y-01A-11R-A260-31",21.7116210526316,"TCGA-ESCA"
"TCGA-L5-A8NG-01A-11R-A37I-31","TCGA-L5-A8NG-01A-11R-A37I-31",17.7178824561404,"TCGA-ESCA"
"TCGA-VR-A8EO-01A-11R-A36D-31","TCGA-VR-A8EO-01A-11R-A36D-31",31.8587719298246,"TCGA-ESCA"
