,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
155,AL109811.3,0.0047207167,0.7650793441156563,0.9999853635789433,6.356563418520975e-06
156,SRM,0.25099432,3.5298046202224553e-287,5.790822588882381e-285,284.2372597401693
157,EXOSC10,0.11774385,1.3457096254450905e-28,9.718893183444713e-28,27.012383191009146
158,AL109811.1,-1.7136335e-07,0.9433327517770322,0.9999853635789433,6.356563418520975e-06
159,AL109811.2,0.017074008,0.22281788067104114,0.41500149381934776,0.38195034001963724
160,MTOR,0.083721966,3.1753264415519446e-12,1.3493628191024686e-11,10.869871260744452
161,UBIAD1,0.08451864,3.905806498516991e-12,1.6511496880964737e-11,10.782213553165146
162,DISP3,0.0009628077,0.9117196700526854,0.9999853635789433,6.356563418520975e-06
163,FBXO2,-0.03887209,0.02113415054795647,0.047287397409729426,1.3252545879024613
164,FBXO44,0.06051396,1.852994875482394e-06,5.850150840991555e-06,5.2328329358723975
165,FBXO6,0.1115827,3.580806187502161e-20,2.0437911345328325e-19,18.689563489043543
166,MAD2L2,-0.035637617,0.0019758015187178795,0.004944896117244664,2.305842827662616
167,DRAXIN,0.014164217,0.24395553083604327,0.44890840912947944,0.34784225914652134
168,AGTRAP,-0.18345308,1.116506755591727e-41,1.0933939651419093e-40,39.96122332747464
169,MTHFR,-0.005007848,0.9242832422505611,0.9999853635789433,6.356563418520975e-06
170,CLCN6,-0.025375277,0.04489453099909642,0.09556052890439734,1.0197214552006701
171,NPPA-AS1,-0.0003724005,0.9435372198099384,0.9999853635789433,6.356563418520975e-06
172,KIAA2013,0.17899203,7.756440960865256e-66,1.177425104093315e-64,63.92906670875404
173,PLOD1,0.09041977,5.706467849509798e-13,2.4949402954751638e-12,11.602939842688258
174,MFN2,0.1476993,8.080472295230119e-35,6.726955567192969e-34,33.17218144090448
175,MIIP,0.20508683,1.0454682102219099e-91,2.3223680167935644e-90,89.63406895815542
176,TNFRSF8,0.24230772,5.5710714070515375e-55,7.050382087819928e-54,53.15178734625182
177,TNFRSF1B,0.07939029,4.7973103327645535e-29,3.521572387951385e-28,27.453263380006355
178,VPS13D,0.06452043,2.882428455896513e-08,1.0102623608063787e-07,6.9955658271539
179,DHRS3,0.2800773,2.2856893195266177e-73,3.885237301499523e-72,71.4105824503291
180,AC254633.1,0.003980836,0.645702437475696,0.9833280272991896,0.007301582186482464
181,PRDM2,0.07757199,7.498292638460473e-11,3.0023392064699994e-10,9.522540242413893
182,KAZN,0.007191384,0.4487518097359414,0.7548283192266113,0.1221518145840341
183,TMEM51,-0.0001407311,0.9995900332888512,0.9999853635789433,6.356563418520975e-06
184,FHAD1,0.0009490263,0.9853684969838512,0.9999853635789433,6.356563418520975e-06
185,AL031283.1,0.0027997715,0.7752010111013865,0.9999853635789433,6.356563418520975e-06
186,EFHD2,0.105938196,6.74723419036921e-67,1.0392251661686668e-65,64.98329034481047
187,CTRC,0.002092378,0.8476323365134837,0.9999853635789433,6.356563418520975e-06
188,CASP9,0.019746214,0.055039318496574195,0.11584429064921607,0.936125365418601
189,DNAJC16,0.038167015,0.0002686426775076035,0.0007253311730622022,3.139463657161207
